timestamp,energy_consumed_kWh,temperature_C,humidity_%,wind_speed_mps,is_sunny,cloud_cover_%,solar_irradiance_Wm2,air_density_kgm3,precipitation_mm,runoff_coefficient
2020-01-01 09:15:00,18778.08,16.4,42.2,9.3,0,27.4,609.9,1.221,9.9,0.1
2020-01-01 09:30:00,19615.47,13.7,31.9,5.9,0,55.6,393.7,1.229,0.3,0.05
2020-01-01 09:45:00,18518.16,20.8,35.9,3.0,0,32.0,572.3,1.208,7.6,0.09
2020-01-01 10:00:00,18554.71,21.9,41.5,4.7,1,76.7,203.2,1.204,2.9,0.06
2020-01-01 10:15:00,19196.04,15.2,39.2,5.2,0,88.9,104.8,1.224,2.4,0.06
2020-01-01 10:30:00,20076.01,10.6,36.2,3.6,0,92.9,62.5,1.238,4.4,0.07
2020-01-01 10:45:00,18386.14,18.4,45.5,3.5,0,89.1,87.5,1.215,1.0,0.06
2020-01-01 11:00:00,18694.27,11.1,39.8,7.4,0,19.7,723.6,1.237,7.7,0.09
2020-01-01 11:15:00,19763.96,18.2,30.9,3.6,1,52.0,458.4,1.215,7.0,0.09
2020-01-01 11:30:00,19697.49,23.7,32.3,3.7,0,6.0,786.0,1.199,1.5,0.06
2020-01-01 11:45:00,18773.46,13.0,34.1,9.3,0,1.9,785.7,1.231,0.3,0.05
2020-01-01 12:00:00,24459.96,24.0,46.5,7.5,0,60.1,374.8,1.198,7.1,0.09
2020-01-01 12:15:00,23573.72,17.5,35.3,2.6,1,16.4,750.8,1.218,2.2,0.06
2020-01-01 12:30:00,24658.06,16.5,30.1,6.4,0,5.9,886.5,1.221,1.4,0.06
2020-01-01 12:45:00,23732.72,16.4,32.1,6.2,0,80.6,161.9,1.221,9.3,0.1
2020-01-01 13:00:00,24175.24,15.4,49.0,5.5,1,55.4,379.5,1.224,2.4,0.06
2020-01-01 13:15:00,24318.09,22.0,31.6,2.6,0,17.2,689.0,1.204,5.2,0.08
2020-01-01 13:30:00,23587.91,21.0,38.9,4.5,1,0.3,815.9,1.207,3.3,0.07
2020-01-01 13:45:00,24534.05,14.2,40.3,3.1,1,67.7,273.4,1.227,8.3,0.09
2020-01-01 14:00:00,25766.79,12.8,30.4,4.0,1,5.5,927.3,1.232,0.6,0.05
2020-01-01 14:15:00,25102.41,24.5,40.8,4.8,0,74.1,256.4,1.197,3.2,0.07
2020-01-01 14:30:00,23771.61,20.9,35.9,9.0,0,99.0,9.5,1.207,9.5,0.1
2020-01-01 14:45:00,25758.75,20.3,30.6,5.8,0,52.3,422.7,1.209,9.9,0.1
2020-01-01 15:00:00,24700.2,13.2,47.0,6.9,0,55.4,376.0,1.23,7.0,0.09
2020-01-01 15:15:00,24336.59,21.3,44.2,3.0,1,22.8,640.0,1.206,9.8,0.1
2020-01-01 15:30:00,24951.17,22.9,30.7,2.9,0,13.4,764.3,1.201,7.9,0.09
2020-01-01 15:45:00,23953.58,20.8,39.0,1.4,1,19.2,656.1,1.208,6.4,0.08
2020-01-01 16:00:00,19726.74,22.6,33.1,8.3,0,38.2,521.1,1.202,6.5,0.08
2020-01-01 16:15:00,18223.98,18.4,41.0,4.1,1,39.4,600.2,1.215,7.0,0.09
2020-01-01 16:30:00,18311.88,24.9,37.1,5.5,1,25.8,615.9,1.195,2.8,0.06
2020-01-01 16:45:00,19815.08,17.4,39.6,9.6,1,66.9,290.5,1.218,4.8,0.07
2020-01-01 17:00:00,18912.77,22.2,43.2,2.8,1,15.5,723.8,1.203,2.6,0.06
2020-01-01 17:15:00,18383.69,15.4,43.0,2.3,1,11.4,778.0,1.224,8.6,0.09
2020-01-01 17:30:00,19924.47,12.6,33.9,7.0,1,97.5,21.7,1.232,5.0,0.08
2020-01-01 17:45:00,18322.86,11.4,46.0,3.8,1,85.0,139.5,1.236,0.4,0.05
2020-01-01 18:00:00,38338.34,10.8,33.5,6.2,0,75.3,226.4,1.238,2.0,0.06
2020-01-01 18:15:00,36953.65,20.1,38.7,3.1,0,66.6,296.8,1.21,2.7,0.06
2020-01-01 18:30:00,39140.36,14.4,49.2,2.2,1,32.6,584.9,1.227,1.8,0.06
2020-01-01 18:45:00,37059.62,20.3,44.0,2.3,1,42.3,564.2,1.209,4.1,0.07
2020-01-01 19:00:00,36676.66,11.6,31.1,3.5,0,71.5,258.1,1.235,9.4,0.1
2020-01-01 19:15:00,39570.77,16.2,45.0,4.4,1,28.6,658.0,1.221,5.5,0.08
2020-01-01 19:30:00,39964.33,14.0,34.0,6.1,0,70.3,264.5,1.228,0.9,0.05
2020-01-01 19:45:00,37191.72,24.5,48.0,7.7,0,13.6,796.3,1.197,9.7,0.1
2020-01-01 20:00:00,36656.16,22.3,45.6,4.2,0,42.8,562.0,1.203,5.6,0.08
2020-01-01 20:15:00,39988.23,17.8,30.1,9.4,1,45.7,477.3,1.217,9.2,0.1
2020-01-01 20:30:00,38326.81,11.2,38.3,6.4,1,4.8,778.7,1.236,1.0,0.06
2020-01-01 20:45:00,39576.35,18.5,39.0,8.7,1,2.5,848.2,1.215,2.8,0.06
2020-01-01 21:00:00,18971.92,18.3,30.9,2.7,0,76.3,197.8,1.215,7.2,0.09
2020-01-01 21:15:00,19330.7,11.0,37.8,5.9,0,55.2,430.0,1.237,8.7,0.09
2020-01-01 21:30:00,20088.63,15.2,32.9,7.9,1,69.0,294.7,1.224,0.8,0.05
2020-01-01 21:45:00,19920.76,14.3,33.8,6.7,1,36.5,618.6,1.227,1.6,0.06
2020-01-01 22:00:00,19707.15,23.2,41.9,4.0,1,94.3,56.0,1.2,7.6,0.09
2020-01-01 22:15:00,19577.9,24.7,31.2,8.5,1,13.7,851.2,1.196,1.3,0.06
2020-01-01 22:30:00,19822.44,21.8,30.0,5.7,0,8.8,849.7,1.205,7.3,0.09
2020-01-01 22:45:00,18375.99,23.1,49.5,4.9,1,33.2,615.8,1.201,6.5,0.08
2020-01-01 23:00:00,18806.05,11.5,34.2,3.7,0,94.6,51.4,1.236,9.2,0.1
2020-01-01 23:15:00,19295.61,20.7,46.9,4.5,0,96.0,38.7,1.208,4.9,0.07
2020-01-01 23:30:00,18703.29,16.9,37.3,5.0,1,78.4,177.9,1.219,8.9,0.09
2020-01-01 23:45:00,18325.98,14.6,40.2,9.4,1,20.4,666.8,1.226,2.5,0.06
2020-01-02 00:00:00,19565.22,14.7,31.1,5.9,1,6.7,786.3,1.226,6.3,0.08
2020-01-02 00:15:00,19919.05,16.3,49.5,1.2,1,20.9,747.2,1.221,6.1,0.08
2020-01-02 00:30:00,18457.24,12.5,41.5,10.0,1,10.6,749.3,1.233,5.1,0.08
2020-01-02 00:45:00,19186.5,11.0,47.4,5.5,1,56.9,354.2,1.237,5.7,0.08
2020-01-02 01:00:00,18372.91,13.9,46.3,7.4,1,38.9,607.6,1.228,6.3,0.08
2020-01-02 01:15:00,18792.67,22.4,38.7,2.9,1,52.4,434.7,1.203,9.1,0.1
2020-01-02 01:30:00,19730.19,12.2,40.6,2.7,0,26.0,637.8,1.233,5.5,0.08
2020-01-02 01:45:00,19559.77,16.5,32.1,5.5,1,20.8,703.1,1.221,5.4,0.08
2020-01-02 02:00:00,19177.19,21.4,49.0,9.1,1,40.9,491.2,1.206,4.4,0.07
2020-01-02 02:15:00,18706.14,23.7,42.5,6.9,0,1.2,829.2,1.199,7.4,0.09
2020-01-02 02:30:00,19335.62,16.4,39.1,9.2,1,12.0,753.0,1.221,4.6,0.07
2020-01-02 02:45:00,19932.71,17.9,42.8,1.7,0,12.5,747.7,1.216,1.2,0.06
2020-01-02 03:00:00,18928.28,17.6,42.5,9.4,1,22.1,747.9,1.217,2.6,0.06
2020-01-02 03:15:00,19337.87,21.5,47.2,2.3,1,79.2,189.9,1.206,1.6,0.06
2020-01-02 03:30:00,19397.64,20.0,41.3,5.4,1,25.7,628.5,1.21,8.9,0.09
2020-01-02 03:45:00,18918.07,22.2,38.5,3.9,0,81.0,173.3,1.203,4.3,0.07
2020-01-02 04:00:00,18491.99,20.3,49.9,4.9,1,36.2,577.9,1.209,6.1,0.08
2020-01-02 04:15:00,19589.18,23.4,49.5,8.6,0,0.2,966.8,1.2,3.1,0.07
2020-01-02 04:30:00,19233.22,24.7,36.5,1.0,1,85.9,134.1,1.196,6.9,0.08
2020-01-02 04:45:00,19857.82,15.9,41.1,8.5,1,36.7,546.2,1.222,8.6,0.09
2020-01-02 05:00:00,19879.46,10.1,40.5,8.1,0,61.1,353.2,1.24,2.9,0.06
2020-01-02 05:15:00,19629.12,23.6,36.6,9.4,1,64.2,320.1,1.199,1.5,0.06
2020-01-02 05:30:00,18302.92,16.2,34.5,6.8,0,95.1,42.7,1.221,8.2,0.09
2020-01-02 05:45:00,18452.36,23.8,37.6,2.2,0,61.6,362.8,1.199,0.7,0.05
2020-01-02 06:00:00,36903.61,19.6,40.6,5.4,0,76.8,222.6,1.211,4.3,0.07
2020-01-02 06:15:00,34755.41,19.6,44.0,3.5,1,80.0,182.1,1.211,4.0,0.07
2020-01-02 06:30:00,35267.26,19.5,45.4,4.4,1,47.8,503.2,1.212,3.1,0.07
2020-01-02 06:45:00,35040.42,16.1,40.4,3.8,0,28.6,606.9,1.222,1.3,0.06
2020-01-02 07:00:00,34365.39,11.7,38.9,7.9,1,29.2,596.8,1.235,8.0,0.09
2020-01-02 07:15:00,33928.01,19.9,39.9,5.4,1,74.9,218.8,1.21,1.1,0.06
2020-01-02 07:30:00,34635.96,24.6,38.2,4.4,1,84.8,145.3,1.196,2.9,0.06
2020-01-02 07:45:00,36396.43,23.1,32.3,1.6,1,86.8,112.3,1.201,0.1,0.05
2020-01-02 08:00:00,34797.1,22.1,43.0,5.6,0,19.6,731.3,1.204,9.2,0.1
2020-01-02 08:15:00,37163.01,12.3,32.1,1.9,0,3.6,877.3,1.233,5.5,0.08
2020-01-02 08:30:00,34405.86,12.1,47.3,2.1,0,40.4,509.3,1.234,2.2,0.06
2020-01-02 08:45:00,36103.95,17.0,49.2,1.2,0,55.2,401.6,1.219,0.4,0.05
2020-01-02 09:00:00,18640.0,13.8,46.8,5.8,0,76.8,215.9,1.229,3.7,0.07
2020-01-02 09:15:00,19194.9,24.6,30.3,9.1,0,26.5,687.8,1.196,3.0,0.07
2020-01-02 09:30:00,19162.37,12.2,33.1,7.6,1,91.2,80.9,1.233,0.5,0.05
2020-01-02 09:45:00,19476.06,17.2,47.6,5.5,0,59.4,375.6,1.218,0.7,0.05
2020-01-02 10:00:00,19440.3,23.7,30.4,5.4,1,99.8,1.8,1.199,2.7,0.06
2020-01-02 10:15:00,19860.4,13.6,31.5,3.2,1,39.6,527.2,1.229,2.8,0.06
2020-01-02 10:30:00,19464.36,12.6,32.5,1.0,1,42.4,536.8,1.232,9.2,0.1
2020-01-02 10:45:00,19920.36,19.1,32.9,8.7,0,87.1,123.2,1.213,9.0,0.1
2020-01-02 11:00:00,18888.77,21.3,46.1,6.3,1,76.0,226.2,1.206,0.5,0.05
2020-01-02 11:15:00,19353.43,20.4,39.4,9.7,1,13.1,859.1,1.209,8.4,0.09
2020-01-02 11:30:00,18645.44,13.2,49.6,6.7,1,69.1,274.7,1.23,1.1,0.06
2020-01-02 11:45:00,18727.82,17.4,37.4,1.9,1,19.9,784.6,1.218,6.7,0.08
2020-01-02 12:00:00,24317.58,21.0,39.7,4.1,1,81.4,181.6,1.207,9.4,0.1
2020-01-02 12:15:00,23475.26,19.9,45.1,9.1,1,54.8,424.2,1.21,0.8,0.05
2020-01-02 12:30:00,24513.56,21.0,40.6,3.7,1,52.9,404.6,1.207,5.1,0.08
2020-01-02 12:45:00,25494.85,14.5,47.7,2.8,1,95.7,35.2,1.227,1.2,0.06
2020-01-02 13:00:00,23746.34,14.1,38.4,8.8,0,96.6,27.7,1.228,1.7,0.06
2020-01-02 13:15:00,25452.98,18.2,41.0,5.5,0,49.9,458.6,1.215,0.2,0.05
2020-01-02 13:30:00,24555.72,17.6,43.5,6.2,1,42.8,462.2,1.217,8.1,0.09
2020-01-02 13:45:00,25793.29,14.2,41.7,3.0,1,88.7,100.5,1.227,2.3,0.06
2020-01-02 14:00:00,24936.89,12.9,47.0,9.7,0,56.3,361.9,1.231,8.9,0.09
2020-01-02 14:15:00,25767.28,13.1,44.1,7.8,1,96.3,34.2,1.231,6.9,0.08
2020-01-02 14:30:00,25076.66,14.1,43.1,2.1,1,70.9,273.0,1.228,8.1,0.09
2020-01-02 14:45:00,25460.59,21.5,36.6,8.6,1,1.9,804.7,1.206,3.2,0.07
2020-01-02 15:00:00,24891.36,15.5,42.4,5.0,1,93.0,68.0,1.224,2.1,0.06
2020-01-02 15:15:00,23714.43,14.2,44.4,1.4,1,44.2,475.2,1.227,4.1,0.07
2020-01-02 15:30:00,23654.28,11.1,37.8,1.4,0,19.6,795.7,1.237,4.8,0.07
2020-01-02 15:45:00,23959.49,10.6,34.9,2.3,0,13.8,799.7,1.238,2.8,0.06
2020-01-02 16:00:00,18355.99,10.5,43.4,9.7,1,58.1,346.4,1.239,2.9,0.06
2020-01-02 16:15:00,19199.47,11.8,43.8,3.5,1,68.4,260.8,1.235,6.8,0.08
2020-01-02 16:30:00,18576.81,15.4,32.3,8.0,0,0.7,943.7,1.224,7.2,0.09
2020-01-02 16:45:00,19741.84,20.0,44.1,8.6,1,18.4,720.8,1.21,5.9,0.08
2020-01-02 17:00:00,19969.24,16.9,33.7,1.7,1,59.9,378.2,1.219,9.2,0.1
2020-01-02 17:15:00,18464.21,10.0,47.0,3.0,1,20.1,650.5,1.24,9.0,0.1
2020-01-02 17:30:00,19531.67,22.5,47.1,1.9,1,57.1,393.9,1.203,3.1,0.07
2020-01-02 17:45:00,18731.11,14.1,36.5,7.1,0,81.6,173.4,1.228,3.6,0.07
2020-01-02 18:00:00,39989.34,19.0,35.9,2.6,0,61.6,343.2,1.213,8.4,0.09
2020-01-02 18:15:00,36614.87,15.6,32.4,8.1,0,89.4,97.3,1.223,1.4,0.06
2020-01-02 18:30:00,39132.91,18.2,41.9,3.6,1,68.9,301.3,1.215,4.7,0.07
2020-01-02 18:45:00,37705.68,24.3,34.4,1.5,1,70.0,282.3,1.197,0.5,0.05
2020-01-02 19:00:00,38774.97,19.7,40.8,7.1,0,47.4,480.4,1.211,3.9,0.07
2020-01-02 19:15:00,36467.81,15.5,37.8,5.4,0,19.3,772.6,1.224,8.8,0.09
2020-01-02 19:30:00,39788.15,19.0,38.0,7.5,0,50.8,431.3,1.213,7.4,0.09
2020-01-02 19:45:00,39411.17,17.4,33.8,7.7,1,6.6,838.6,1.218,3.8,0.07
2020-01-02 20:00:00,39534.95,12.6,31.9,6.5,1,25.9,619.3,1.232,1.2,0.06
2020-01-02 20:15:00,37565.0,13.6,48.1,3.8,0,20.6,655.0,1.229,8.0,0.09
2020-01-02 20:30:00,38133.43,21.1,42.9,2.4,0,0.9,988.3,1.207,0.6,0.05
2020-01-02 20:45:00,39072.65,15.0,33.8,5.3,1,2.6,903.6,1.225,8.6,0.09
2020-01-02 21:00:00,18261.58,12.5,49.9,2.6,0,82.0,164.5,1.233,0.2,0.05
2020-01-02 21:15:00,19162.67,16.1,42.7,2.0,1,30.3,641.1,1.222,7.7,0.09
2020-01-02 21:30:00,18702.52,10.5,37.9,8.9,0,71.0,254.7,1.239,8.5,0.09
2020-01-02 21:45:00,18584.51,13.3,44.9,7.0,1,93.2,56.6,1.23,9.2,0.1
2020-01-02 22:00:00,18872.49,23.1,41.5,8.6,0,34.2,599.9,1.201,7.9,0.09
2020-01-02 22:15:00,19404.39,10.3,30.5,5.2,0,23.4,761.5,1.239,3.7,0.07
2020-01-02 22:30:00,18876.97,11.0,36.4,5.2,1,35.9,539.3,1.237,2.7,0.06
2020-01-02 22:45:00,18846.17,23.4,46.8,7.9,1,61.3,321.8,1.2,4.1,0.07
2020-01-02 23:00:00,18862.98,13.8,38.5,7.9,0,15.2,815.9,1.229,5.1,0.08
2020-01-02 23:15:00,18834.52,13.0,40.0,7.5,1,91.2,80.6,1.231,7.2,0.09
2020-01-02 23:30:00,19397.07,19.1,34.4,8.3,1,1.5,808.6,1.213,1.7,0.06
2020-01-02 23:45:00,18322.96,22.1,31.1,8.0,0,83.0,164.9,1.204,3.9,0.07
2020-01-03 00:00:00,19795.75,13.2,49.1,9.1,1,94.6,47.4,1.23,8.3,0.09
2020-01-03 00:15:00,18991.05,10.2,44.6,5.4,0,30.0,627.5,1.239,8.1,0.09
2020-01-03 00:30:00,18468.46,20.7,39.8,4.2,0,48.9,487.8,1.208,7.0,0.09
2020-01-03 00:45:00,18745.5,17.2,46.7,3.4,0,57.5,383.8,1.218,8.7,0.09
2020-01-03 01:00:00,19217.75,13.8,38.2,4.5,1,53.6,430.7,1.229,9.1,0.1
2020-01-03 01:15:00,19794.21,11.4,38.9,6.9,1,56.5,390.6,1.236,2.5,0.06
2020-01-03 01:30:00,18673.63,22.2,43.5,5.2,1,38.6,512.2,1.203,1.8,0.06
2020-01-03 01:45:00,19142.51,16.6,47.1,3.8,1,41.2,576.2,1.22,3.3,0.07
2020-01-03 02:00:00,18944.11,24.4,30.9,5.6,1,12.8,769.7,1.197,5.6,0.08
2020-01-03 02:15:00,18610.97,19.6,49.4,8.0,1,31.7,615.6,1.211,9.6,0.1
2020-01-03 02:30:00,19765.29,16.6,47.9,3.9,0,89.8,97.1,1.22,1.1,0.06
2020-01-03 02:45:00,19845.45,15.9,31.9,8.3,0,4.8,893.5,1.222,5.3,0.08
2020-01-03 03:00:00,19011.8,21.8,34.5,1.0,1,27.4,695.3,1.205,6.6,0.08
2020-01-03 03:15:00,19608.53,11.8,44.0,5.5,0,80.6,177.7,1.235,8.8,0.09
2020-01-03 03:30:00,19551.48,24.9,35.6,1.5,0,62.3,375.7,1.195,4.1,0.07
2020-01-03 03:45:00,18443.21,11.1,48.1,2.4,1,37.4,564.5,1.237,8.5,0.09
2020-01-03 04:00:00,18480.3,16.1,35.8,2.7,0,6.1,870.4,1.222,6.0,0.08
2020-01-03 04:15:00,18875.81,18.9,49.0,1.3,0,23.3,743.8,1.213,0.7,0.05
2020-01-03 04:30:00,19621.26,21.7,35.3,7.3,0,35.0,618.0,1.205,2.2,0.06
2020-01-03 04:45:00,19485.09,15.4,45.1,2.7,1,63.5,332.4,1.224,7.0,0.09
2020-01-03 05:00:00,18768.2,10.2,30.2,7.2,0,33.2,640.3,1.239,8.0,0.09
2020-01-03 05:15:00,19485.17,23.1,42.4,6.7,1,68.9,265.8,1.201,7.1,0.09
2020-01-03 05:30:00,18383.91,23.5,33.3,5.1,1,14.0,809.3,1.2,6.7,0.08
2020-01-03 05:45:00,19906.42,22.9,41.0,2.1,1,98.9,10.5,1.201,8.7,0.09
2020-01-03 06:00:00,37058.55,12.7,35.2,5.8,1,81.0,174.3,1.232,6.4,0.08
2020-01-03 06:15:00,34443.65,16.0,30.9,7.2,0,95.8,39.5,1.222,4.4,0.07
2020-01-03 06:30:00,36807.42,12.8,44.0,10.0,0,46.5,459.2,1.232,5.4,0.08
2020-01-03 06:45:00,36843.56,20.3,33.5,3.1,1,60.7,372.4,1.209,6.9,0.08
2020-01-03 07:00:00,36265.3,24.4,36.3,5.3,0,32.3,656.2,1.197,4.4,0.07
2020-01-03 07:15:00,37141.8,23.0,49.0,7.6,1,53.8,402.4,1.201,3.8,0.07
2020-01-03 07:30:00,34363.79,17.0,44.1,4.2,1,69.8,256.2,1.219,0.0,0.05
2020-01-03 07:45:00,35583.92,16.7,47.4,4.3,0,39.9,511.0,1.22,5.4,0.08
2020-01-03 08:00:00,35807.2,10.5,33.9,9.1,1,75.9,223.3,1.239,2.0,0.06
2020-01-03 08:15:00,36234.08,10.8,40.1,6.4,0,88.7,91.2,1.238,1.8,0.06
2020-01-03 08:30:00,36543.09,11.3,41.8,4.2,0,38.7,511.8,1.236,3.4,0.07
2020-01-03 08:45:00,34992.7,23.0,46.8,4.1,0,88.3,114.2,1.201,3.2,0.07
2020-01-03 09:00:00,19060.41,19.0,35.3,1.4,1,34.7,600.6,1.213,5.9,0.08
2020-01-03 09:15:00,19310.13,12.1,33.3,4.4,1,95.0,48.0,1.234,3.9,0.07
2020-01-03 09:30:00,19918.23,14.6,39.4,5.8,1,61.4,358.2,1.226,9.4,0.1
2020-01-03 09:45:00,19368.32,20.8,48.0,4.0,0,87.9,114.1,1.208,4.7,0.07
2020-01-03 10:00:00,19606.47,19.1,42.8,1.1,0,11.6,880.5,1.213,2.9,0.06
2020-01-03 10:15:00,18500.85,16.4,43.5,4.7,1,17.3,676.5,1.221,5.2,0.08
2020-01-03 10:30:00,19507.18,20.5,45.0,5.9,1,73.9,234.1,1.209,3.2,0.07
2020-01-03 10:45:00,18554.41,10.0,39.5,1.7,0,81.1,187.4,1.24,7.3,0.09
2020-01-03 11:00:00,18437.7,13.9,40.3,7.9,0,55.1,375.8,1.228,7.0,0.09
2020-01-03 11:15:00,19457.44,17.4,38.7,8.0,1,32.1,616.2,1.218,4.9,0.07
2020-01-03 11:30:00,19992.26,13.5,44.0,3.2,1,54.8,436.2,1.23,9.8,0.1
2020-01-03 11:45:00,18245.82,21.9,40.1,3.6,1,68.1,259.7,1.204,5.0,0.08
2020-01-03 12:00:00,24523.2,23.1,39.0,3.3,0,33.1,545.2,1.201,5.8,0.08
2020-01-03 12:15:00,25363.88,20.6,34.6,6.6,1,77.6,211.7,1.208,1.1,0.06
2020-01-03 12:30:00,23692.79,17.5,38.3,4.5,1,85.0,148.9,1.218,6.9,0.08
2020-01-03 12:45:00,23656.5,12.3,48.7,9.4,0,8.9,880.2,1.233,0.6,0.05
2020-01-03 13:00:00,25350.49,10.8,42.5,8.4,0,55.3,389.5,1.238,8.0,0.09
2020-01-03 13:15:00,25132.15,23.5,45.6,5.8,0,38.7,564.8,1.2,2.4,0.06
2020-01-03 13:30:00,24835.04,17.8,40.1,3.8,1,67.6,279.7,1.217,0.6,0.05
2020-01-03 13:45:00,23495.96,18.4,32.2,3.8,1,35.4,601.1,1.215,7.6,0.09
2020-01-03 14:00:00,25074.57,19.4,42.2,7.0,1,74.9,223.7,1.212,2.9,0.06
2020-01-03 14:15:00,25710.09,18.7,34.7,6.2,1,49.7,458.3,1.214,0.5,0.05
2020-01-03 14:30:00,24782.25,19.9,37.8,9.0,1,33.5,559.7,1.21,2.9,0.06
2020-01-03 14:45:00,23794.74,18.4,30.4,8.8,0,31.1,635.0,1.215,0.1,0.05
2020-01-03 15:00:00,25390.4,15.5,30.1,1.1,1,81.3,164.4,1.224,8.2,0.09
2020-01-03 15:15:00,24797.28,14.2,32.5,4.4,1,63.9,344.7,1.227,2.2,0.06
2020-01-03 15:30:00,25651.38,17.0,35.8,4.6,1,51.9,418.5,1.219,9.3,0.1
2020-01-03 15:45:00,25766.01,14.8,49.2,8.3,1,59.2,367.8,1.226,2.7,0.06
2020-01-03 16:00:00,19370.6,19.2,39.2,3.4,0,44.8,516.2,1.212,7.8,0.09
2020-01-03 16:15:00,18426.29,20.9,37.1,5.5,1,63.9,318.3,1.207,9.8,0.1
2020-01-03 16:30:00,19439.4,11.0,36.4,8.1,0,86.9,129.5,1.237,6.9,0.08
2020-01-03 16:45:00,19261.09,18.4,36.7,5.3,1,88.9,96.7,1.215,8.9,0.09
2020-01-03 17:00:00,18425.49,12.1,44.5,6.0,1,85.8,126.8,1.234,9.3,0.1
2020-01-03 17:15:00,18707.22,19.4,31.5,6.9,0,84.0,142.8,1.212,9.8,0.1
2020-01-03 17:30:00,18269.95,22.4,39.1,3.8,1,24.8,717.9,1.203,5.1,0.08
2020-01-03 17:45:00,19341.73,23.5,39.9,1.9,0,86.8,111.8,1.2,9.6,0.1
2020-01-03 18:00:00,40169.76,22.5,41.3,4.6,0,17.6,819.8,1.203,5.3,0.08
